装备ID(2位部位，2位职业，3位区分，1位颜色，1位流水)	有效标志位客户端无用	名称	部位(0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7护肩，8头盔，9鞋子,10翅膀，11VIP装备)	颜色(0白，1绿，2蓝，3紫，4金,5红,6暗金)	门派职业限制(0通用职业，11昆仑，21琉璃，31乾坤，41凤鸣)	等级下限	等级上限	境界下限	境界上限	表现类型	性别限制(0不限，1男，2女)	有效期限(填-1为无限期，单位秒)	允许续费(0到期删除，1到期不删除)	时间限制ID	允许超时(0不允许，1允许)	地点限制ID	允许离开(0不允许，1允许)	变身模板限制ID	绑定方式(0不绑定，1拾取绑，2使用绑)	出售设置(0随意出售，1提示出售，2不可出售)	出售货币	金币价格	鉴定规则ID	精炼规则ID	精炼上限	注魂规则ID	强化规则ID(1位颜色，1位类型，2位部位<0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7徽章，8头盔，9鞋子>，1位流水)	基础属性池ID	蓝色属性条数上限	附加属性池ID1	精炼属性池ID	魂装属性池ID	套装ID	模型路径(路径要用/，用\时，\n**会被识别为换行)	模型类别(0轻剑；1重剑；2弓；3飞剑)	模型缩放(浮点数)	男图标前景ID（后面要把名字改为FontImageID_male）	男图标背景ID（后面要把名字改成BackImageID_male）	装备特效规则ID(2部位+2为职业+3位等级，只有武器和衣服)	装备描述	武器攻击间隔	是否广播	掉落特效	来源对象ID	掉落飞入特效	拍卖分类	拍卖价格	装备法球属性池ID	掉落上品彰显状态限制1（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	掉落极品彰显状态限制2（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	宝石装备位域（1圆、2方、4正）	神器标识	神器特殊战力	神技BUFFID	神技BUFF几率（绝对几率，万分比，不足一万以一万为分母，单件装备为分子，超过一万以总值为分母，每次触发时去掉已CD的）	BUFF的CD（秒）	BUFF持续时间（毫秒）	神器单件激活所需部位	神器激活属性ID	女图标前景ID	女图标背景ID 
13101130	1	魂·万象甲	1	3	31	66	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	4800	31	3131	6	13101130	10010	10131310	3	30131310	20131310	100131310	1	0	0	1	0	31_0_1h	0	一鉴涵虚碧，万象悉其中。	1000	147483	1000032	13101130	1000004	0	0	0	60130000	60130001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101130	1	魂·万象带	2	3	31	76	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	4800	31	3132	6	23101130	10020	10231310	3	30231310	20231310	100231310	1	0	0	1	0	31_0_2h	0	一鉴涵虚碧，万象悉其中。	1000	147483	1000033	23101130	1000004	0	0	0	60230000	60230001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101130	1	魂·万象裤	3	3	31	73	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	4800	31	3133	6	33101130	10030	10331310	3	30331310	20331310	100331310	1	0	0	1	0	31_0_3h	0	一鉴涵虚碧，万象悉其中。	1000	147483	1000029	33101130	1000004	0	0	0	60330000	60330001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101130	1	魂·万象护腕	4	3	31	75	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	4000	32	3134	6	43101130	10040	10431310	3	30431310	20431310	100431310	2	0	0	1	0	31_0_4h	0	一鉴涵虚碧，万象悉其中。	1000	139323	1000030	43101130	1000004	0	0	0	60430000	60430001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101130	1	魂·燧珑	5	3	31	60	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	900	33	3135	6	53101130	10050	10531310	3	30531310	20531310	100531310	3	0	0	1	0	31_0_5h	0	烽燧如火，玲珑如心。	1000	204859	1000031	53101130	1000004	0	0	0	60530000	60530001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101130	1	魂·谛听	6	3	31	71	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	900	33	3136	6	63101130	10060	10631310	3	30631310	20631310	100631310	3	0	0	1	0	31_0_6h	0	谛听其魂，明辨是非。	1000	204859	1000028	63101130	1000004	0	0	0	60630000	60630001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101130	1	魂·万象护肩	7	3	31	65	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	4000	32	3137	6	73101130	10070	10731310	3	30731310	20731310	100731310	2	0	0	1	0	31_0_7h	0	一鉴涵虚碧，万象悉其中。	1000	139323	1000061	73101130	1000004	0	0	0	60730000	60730001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101130	1	魂·万象盔	8	3	31	64	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	4000	32	3138	6	83101130	10080	10831310	3	30831310	20831310	100831310	2	0	0	1	0	31_0_8h	0	一鉴涵虚碧，万象悉其中。	1000	139323	1000060	83101130	1000004	0	0	0	60830000	60830001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101130	1	魂·万象靴	9	3	31	79	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	4000	32	3139	6	93101130	10090	10931310	3	30931310	20931310	100931310	2	0	0	1	0	31_0_9h	0	一鉴涵虚碧，万象悉其中。	1000	139323	1000054	93101130	1000004	0	0	0	60930000	60930001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
3101140	1	魂·天罡	0	4	31	1080	7200	0	999	31	0	-1	0	0	0	0	0	0	1	0	5	5500	41	3140	10	3101140	10000	10031410	3	30031410	20031410	100031410	1	0	0	1	0	31_0_0h	0	天罡雷怒震九州，万物洞虚皆刍狗。	1000	147515	1000021	3101140	1000004	0	0	0	60040000	60040001	7	0	0	0	0	0	0	-1	0	0	31_0_0h
13101140	1	魂·天罡甲	1	4	31	1086	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	5500	41	3141	10	13101140	10010	10131410	3	30131410	20131410	100131410	1	0	0	1	0	31_0_1h	0	举目天罡,万里征途迎曙光。	1000	147515	1000032	13101140	1000004	0	0	0	60140000	60140001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101140	1	魂·天罡带	2	4	31	1096	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	5500	41	3142	10	23101140	10020	10231410	3	30231410	20231410	100231410	1	0	0	1	0	31_0_2h	0	举目天罡,万里征途迎曙光。	1000	147515	1000033	23101140	1000004	0	0	0	60240000	60240001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101140	1	魂·天罡裤	3	4	31	1093	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	5500	41	3143	10	33101140	10030	10331410	3	30331410	20331410	100331410	1	0	0	1	0	31_0_3h	0	举目天罡,万里征途迎曙光。	1000	147515	1000029	33101140	1000004	0	0	0	60340000	60340001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101140	1	魂·天罡护腕	4	4	31	1095	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	4500	42	3144	10	43101140	10040	10431410	3	30431410	20431410	100431410	2	0	0	1	0	31_0_4h	0	举目天罡,万里征途迎曙光。	1000	139387	1000030	43101140	1000004	0	0	0	60440000	60440001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101140	1	魂·煞影	5	4	31	1080	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	1650	43	3145	10	53101140	10050	10531410	3	30531410	20531410	100531410	3	0	0	1	0	31_0_5h	0	高山夜枭鸣，煞影敛其形。	1000	204923	1000031	53101140	1000004	0	0	0	60540000	60540001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101140	1	魂·惊寂	6	4	31	1091	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	1650	43	3146	10	63101140	10060	10631410	3	30631410	20631410	100631410	3	0	0	1	0	31_0_6h	0	惊落梧桐，寂寥百年。	1000	204923	1000028	63101140	1000004	0	0	0	60640000	60640001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101140	1	魂·天罡护肩	7	4	31	1085	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	4500	42	3147	10	73101140	10070	10731410	3	30731410	20731410	100731410	2	0	0	1	0	31_0_7h	0	举目天罡,万里征途迎曙光。	1000	139387	1000061	73101140	1000004	0	0	0	60740000	60740001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101140	1	魂·天罡盔	8	4	31	1084	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	4500	42	3148	10	83101140	10080	10831410	3	30831410	20831410	100831410	2	0	0	1	0	31_0_8h	0	举目天罡,万里征途迎曙光。	1000	139387	1000060	83101140	1000004	0	0	0	60840000	60840001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101140	1	魂·天罡靴	9	4	31	1099	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	4500	42	3149	10	93101140	10090	10931410	3	30931410	20931410	100931410	2	0	0	1	0	31_0_9h	0	举目天罡,万里征途迎曙光。	1000	139387	1000054	93101140	1000004	0	0	0	60940000	60940001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
3101150	1	魂·江山	0	5	31	2100	7200	0	999	31	0	-1	0	0	0	0	0	0	1	0	5	6500	51	3150	10	3101150	10000	10031510	3	30031510	20031510	100031510	1	0	0	1	0	31_0_0h	0	三千里地山河，如聚如怒几干戈。	1000	147579	1000021	3101150	1000004	0	0	0	60050000	60050001	7	0	0	0	0	0	0	-1	0	0	31_0_0h
13101150	1	魂·山河甲	1	5	31	2106	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	6500	51	3151	10	13101150	10010	10131510	3	30131510	20131510	100131510	1	0	0	1	0	31_0_1h	0	聚山河之日月，耀九州之风华。	1000	147579	1000032	13101150	1000004	0	0	0	60150000	60150001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101150	1	魂·山河带	2	5	31	2116	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	6500	51	3152	10	23101150	10020	10231510	3	30231510	20231510	100231510	1	0	0	1	0	31_0_2h	0	聚山河之日月，耀九州之风华。	1000	147579	1000033	23101150	1000004	0	0	0	60250000	60250001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101150	1	魂·山河裤	3	5	31	2113	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	6500	51	3153	10	33101150	10030	10331510	3	30331510	20331510	100331510	1	0	0	1	0	31_0_3h	0	聚山河之日月，耀九州之风华。	1000	147579	1000029	33101150	1000004	0	0	0	60350000	60350001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101150	1	魂·山河护腕	4	5	31	2115	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	5500	52	3154	10	43101150	10040	10431510	3	30431510	20431510	100431510	2	0	0	1	0	31_0_4h	0	聚山河之日月，耀九州之风华。	1000	139515	1000030	43101150	1000004	0	0	0	60450000	60450001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101150	1	魂·皇影	5	5	31	2100	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	1750	53	3155	10	53101150	10050	10531510	3	30531510	20531510	100531510	3	0	0	1	0	31_0_5h	0	玉皇开碧落，后土望其影。	1000	205051	1000031	53101150	1000004	0	0	0	60550000	60550001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101150	1	魂·天戒	6	5	31	2111	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	1750	53	3156	10	63101150	10060	10631510	3	30631510	20631510	100631510	3	0	0	1	0	31_0_6h	0	克谨天戒，以慰天灵。	1000	205051	1000028	63101150	1000004	0	0	0	60650000	60650001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101150	1	魂·山河护肩	7	5	31	2105	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	5500	52	3157	10	73101150	10070	10731510	3	30731510	20731510	100731510	2	0	0	1	0	31_0_7h	0	聚山河之日月，耀九州之风华。	1000	139515	1000061	73101150	1000004	0	0	0	60750000	60750001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101150	1	魂·山河盔	8	5	31	2104	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	5500	52	3158	10	83101150	10080	10831510	3	30831510	20831510	100831510	2	0	0	1	0	31_0_8h	0	聚山河之日月，耀九州之风华。	1000	139515	1000060	83101150	1000004	0	0	0	60850000	60850001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101150	1	魂·山河履	9	5	31	2119	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	5500	52	3159	10	93101150	10090	10931510	3	30931510	20931510	100931510	2	0	0	1	0	31_0_9h	0	聚山河之日月，耀九州之风华。	1000	139515	1000054	93101150	1000004	0	0	0	60950000	60950001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
3101160	1	魂·偃月	0	6	31	3120	7200	0	999	31	0	-1	0	0	0	0	0	0	1	0	5	8500	61	3160	10	3101160	10000	10031610	3	30031610	20031610	100031610	1	0	0	1	0	31_0_0h	0	偃月横空，龙华乍现。	1000	155643	1000021	3101160	1000004	0	0	0	60060000	60060001	7	0	0	0	0	0	0	-1	0	0	31_0_0h
13101160	1	魂·龙华甲	1	6	31	3126	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	8500	61	3161	10	13101160	10010	10131610	3	30131610	20131610	100131610	1	0	0	1	0	31_0_1h	0	神龙居深池，时有龙华薄天。	1000	155643	1000032	13101160	1000004	0	0	0	60160000	60160001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101160	1	魂·龙华带	2	6	31	3136	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	8500	61	3162	10	23101160	10020	10231610	3	30231610	20231610	100231610	1	0	0	1	0	31_0_2h	0	神龙居深池，时有龙华薄天。	1000	155643	1000033	23101160	1000004	0	0	0	60260000	60260001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101160	1	魂·龙华裤	3	6	31	3133	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	8500	61	3163	10	33101160	10030	10331610	3	30331610	20331610	100331610	1	0	0	1	0	31_0_3h	0	神龙居深池，时有龙华薄天。	1000	155643	1000029	33101160	1000004	0	0	0	60360000	60360001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101160	1	魂·龙华护腕	4	6	31	3135	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	7000	62	3164	10	43101160	10040	10431610	3	30431610	20431610	100431610	2	0	0	1	0	31_0_4h	0	神龙居深池，时有龙华薄天。	1000	147451	1000030	43101160	1000004	0	0	0	60460000	60460001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101160	1	魂·晓曙	5	6	31	3120	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	2150	63	3165	10	53101160	10050	10531610	3	30531610	20531610	100531610	3	0	0	1	0	31_0_5h	0	云龙破晓，曙光天南来。	1000	212987	1000031	53101160	1000004	0	0	0	60560000	60560001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101160	1	魂·螭纹	6	6	31	3131	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	2150	63	3166	10	63101160	10060	10631610	3	30631610	20631610	100631610	3	0	0	1	0	31_0_6h	0	戒上螭龙舞，阵阵摄魂声。	1000	212987	1000028	63101160	1000004	0	0	0	60660000	60660001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101160	1	魂·龙华护肩	7	6	31	3125	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	7000	62	3167	10	73101160	10070	10731610	3	30731610	20731610	100731610	2	0	0	1	0	31_0_7h	0	神龙居深池，时有龙华薄天。	1000	147451	1000061	73101160	1000004	0	0	0	60760000	60760001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101160	1	魂·龙华盔	8	6	31	3124	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	7000	62	3168	10	83101160	10080	10831610	3	30831610	20831610	100831610	2	0	0	1	0	31_0_8h	0	神龙居深池，时有龙华薄天。	1000	147451	1000060	83101160	1000004	0	0	0	60860000	60860001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101160	1	魂·龙华靴	9	6	31	3139	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	7000	62	3169	10	93101160	10090	10931610	3	30931610	20931610	100931610	2	0	0	1	0	31_0_9h	0	神龙居深池，时有龙华薄天。	1000	147451	1000054	93101160	1000004	0	0	0	60960000	60960001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
3101170	1	魂·弑日	0	7	31	4140	7200	0	999	31	0	-1	0	0	0	0	0	0	1	0	5	10000	71	3170	10	3101170	10000	10031710	3	30031710	20031710	100031710	1	0	0	1	0	31_0_0h	0	天阻其道，弑日屠天。	1000	155643	1000024	3101170	1000004	0	0	0	60070000	60070001	7	0	0	0	0	0	0	-1	0	0	31_0_0h
13101170	1	魂·荒火甲	1	7	31	4146	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	10000	71	3171	10	13101170	10010	10131710	3	30131710	20131710	100131710	1	0	0	1	0	31_0_1h	0	荒火灼神，毁天灭地。	1000	155643	1000032	13101170	1000004	0	0	0	60170000	60170001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101170	1	魂·荒火带	2	7	31	4156	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	10000	71	3172	10	23101170	10020	10231710	3	30231710	20231710	100231710	1	0	0	1	0	31_0_2h	0	荒火灼神，毁天灭地。	1000	155643	1000033	23101170	1000004	0	0	0	60270000	60270001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101170	1	魂·荒火裤	3	7	31	4153	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	10000	71	3173	10	33101170	10030	10331710	3	30331710	20331710	100331710	1	0	0	1	0	31_0_3h	0	荒火灼神，毁天灭地。	1000	155643	1000029	33101170	1000004	0	0	0	60370000	60370001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101170	1	魂·荒火护腕	4	7	31	4155	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	8500	72	3174	10	43101170	10040	10431710	3	30431710	20431710	100431710	2	0	0	1	0	31_0_4h	0	荒火灼神，毁天灭地。	1000	147451	1000030	43101170	1000004	0	0	0	60470000	60470001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101170	1	魂·无象	5	7	31	4140	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	2650	73	3175	10	53101170	10050	10531710	3	30531710	20531710	100531710	3	0	0	1	0	31_0_5h	0	念生万象,无念无象。	1000	212987	1000031	53101170	1000004	0	0	0	60570000	60570001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101170	1	魂·无念	6	7	31	4151	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	2650	73	3176	10	63101170	10060	10631710	3	30631710	20631710	100631710	3	0	0	1	0	31_0_6h	0	念生万象,无念无象。	1000	212987	1000028	63101170	1000004	0	0	0	60670000	60670001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101170	1	魂·荒火护肩	7	7	31	4145	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	8500	72	3177	10	73101170	10070	10731710	3	30731710	20731710	100731710	2	0	0	1	0	31_0_7h	0	荒火灼神，毁天灭地。	1000	147451	1000061	73101170	1000004	0	0	0	60770000	60770001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101170	1	魂·荒火盔	8	7	31	4144	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	8500	72	3178	10	83101170	10080	10831710	3	30831710	20831710	100831710	2	0	0	1	0	31_0_8h	0	荒火灼神，毁天灭地。	1000	147451	1000060	83101170	1000004	0	0	0	60870000	60870001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101170	1	魂·荒火靴	9	7	31	4159	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	8500	72	3179	10	93101170	10090	10931710	3	30931710	20931710	100931710	2	0	0	1	0	31_0_9h	0	荒火灼神，毁天灭地。	1000	147451	1000054	93101170	1000004	0	0	0	60970000	60970001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
3101180	1	魂·刑宇	0	8	31	5160	7200	0	999	31	0	-1	0	0	0	0	0	0	1	0	5	12000	81	3180	10	3101180	10000	10031810	3	30031810	20031810	100031810	1	0	0	1	0	31_0_0h	0	刑宇灭仙，唯我独尊。	1000	155643	1000024	3101180	1000004	0	0	0	60080000	60080001	7	0	0	0	0	0	0	-1	0	0	31_0_0h
13101180	1	魂·幽屠甲	1	8	31	5166	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	12000	81	3181	10	13101180	10010	10131810	3	30131810	20131810	100131810	1	0	0	1	0	31_0_1h	0	幽屠破不周，唯我永不灭。	1000	155643	1000032	13101180	1000004	0	0	0	60180000	60180001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101180	1	魂·幽屠带	2	8	31	5176	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	12000	81	3182	10	23101180	10020	10231810	3	30231810	20231810	100231810	1	0	0	1	0	31_0_2h	0	幽屠破不周，唯我永不灭。	1000	155643	1000033	23101180	1000004	0	0	0	60280000	60280001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101180	1	魂·幽屠裤	3	8	31	5173	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	12000	81	3183	10	33101180	10030	10331810	3	30331810	20331810	100331810	1	0	0	1	0	31_0_3h	0	幽屠破不周，唯我永不灭。	1000	155643	1000029	33101180	1000004	0	0	0	60380000	60380001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101180	1	魂·幽屠护腕	4	8	31	5175	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	10000	82	3184	10	43101180	10040	10431810	3	30431810	20431810	100431810	2	0	0	1	0	31_0_4h	0	幽屠破不周，唯我永不灭。	1000	147451	1000030	43101180	1000004	0	0	0	60480000	60480001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101180	1	魂·喋血	5	8	31	5160	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	3250	83	3185	10	53101180	10050	10531810	3	30531810	20531810	100531810	3	0	0	1	0	31_0_5h	0	喋血元破，刀皇不灭心。	1000	212987	1000031	53101180	1000004	0	0	0	60580000	60580001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101180	1	魂·元破	6	8	31	5171	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	3250	83	3186	10	63101180	10060	10631810	3	30631810	20631810	100631810	3	0	0	1	0	31_0_6h	0	喋血元破，刀皇不灭心。	1000	212987	1000028	63101180	1000004	0	0	0	60680000	60680001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101180	1	魂·幽屠护肩	7	8	31	5165	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	10000	82	3187	10	73101180	10070	10731810	3	30731810	20731810	100731810	2	0	0	1	0	31_0_7h	0	幽屠破不周，唯我永不灭。	1000	147451	1000061	73101180	1000004	0	0	0	60780000	60780001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101180	1	魂·幽屠盔	8	8	31	5164	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	10000	82	3188	10	83101180	10080	10831810	3	30831810	20831810	100831810	2	0	0	1	0	31_0_8h	0	幽屠破不周，唯我永不灭。	1000	147451	1000060	83101180	1000004	0	0	0	60880000	60880001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101180	1	魂·幽屠靴	9	8	31	5179	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	10000	82	3189	10	93101180	10090	10931810	3	30931810	20931810	100931810	2	0	0	1	0	31_0_9h	0	幽屠破不周，唯我永不灭。	1000	147451	1000054	93101180	1000004	0	0	0	60980000	60980001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
3101190	1	魂·龙胤	0	9	31	6180	7200	0	999	31	0	-1	0	0	0	0	0	0	1	0	5	14000	91	3190	10	3101190	10000	10031910	3	30031910	20031910	100031910	1	0	0	1	0	31_0_0h	0	龙胤日月光，寒锋破神灭。	1000	155643	1000024	3101190	1000004	0	0	0	60090000	60090001	7	0	0	0	0	0	0	-1	0	0	31_0_0h
13101190	1	魂·古纹甲	1	9	31	6186	7200	0	999	131	0	-1	0	0	0	0	0	0	1	0	5	14000	91	3191	10	13101190	10010	10131910	3	30131910	20131910	100131910	1	0	0	1	0	31_0_1h	0	古纹魔神碑，百年流逝，岁月难回。	1000	155643	1000032	13101190	1000004	0	0	0	60190000	60190001	7	0	0	0	0	0	0	-1	0	0	31_0_1h
23101190	1	魂·古纹带	2	9	31	6196	7200	0	999	231	0	-1	0	0	0	0	0	0	1	0	5	14000	91	3192	10	23101190	10020	10231910	3	30231910	20231910	100231910	1	0	0	1	0	31_0_2h	0	古纹魔神碑，百年流逝，岁月难回。	1000	155643	1000033	23101190	1000004	0	0	0	60290000	60290001	7	0	0	0	0	0	0	-1	0	0	31_0_2h
33101190	1	魂·古纹裤	3	9	31	6193	7200	0	999	331	0	-1	0	0	0	0	0	0	1	0	5	14000	91	3193	10	33101190	10030	10331910	3	30331910	20331910	100331910	1	0	0	1	0	31_0_3h	0	古纹魔神碑，百年流逝，岁月难回。	1000	155643	1000029	33101190	1000004	0	0	0	60390000	60390001	7	0	0	0	0	0	0	-1	0	0	31_0_3h
43101190	1	魂·古纹护腕	4	9	31	6195	7200	0	999	431	0	-1	0	0	0	0	0	0	1	0	5	12000	92	3194	10	43101190	10040	10431910	3	30431910	20431910	100431910	2	0	0	1	0	31_0_4h	0	古纹魔神碑，百年流逝，岁月难回。	1000	147451	1000030	43101190	1000004	0	0	0	60490000	60490001	7	0	0	0	0	0	0	-1	0	0	31_0_4h
53101190	1	魂·龙牙	5	9	31	6180	7200	0	999	531	0	-1	0	0	0	0	0	0	1	0	203	4000	93	3195	10	53101190	10050	10531910	3	30531910	20531910	100531910	3	0	0	1	0	31_0_5h	0	龙牙鎏金，血散形凝。	1000	212987	1000031	53101190	1000004	0	0	0	60590000	60590001	7	0	0	0	0	0	0	-1	0	0	31_0_5h
63101190	1	魂·血散	6	9	31	6191	7200	0	999	631	0	-1	0	0	0	0	0	0	1	0	203	4000	93	3196	10	63101190	10060	10631910	3	30631910	20631910	100631910	3	0	0	1	0	31_0_6h	0	龙牙鎏金，血散形凝。	1000	212987	1000028	63101190	1000004	0	0	0	60690000	60690001	7	0	0	0	0	0	0	-1	0	0	31_0_6h
73101190	1	魂·古纹护肩	7	9	31	6185	7200	0	999	731	0	-1	0	0	0	0	0	0	1	0	5	12000	92	3197	10	73101190	10070	10731910	3	30731910	20731910	100731910	2	0	0	1	0	31_0_7h	0	古纹魔神碑，百年流逝，岁月难回。	1000	147451	1000061	73101190	1000004	0	0	0	60790000	60790001	7	0	0	0	0	0	0	-1	0	0	31_0_7h
83101190	1	魂·古纹盔	8	9	31	6184	7200	0	999	831	0	-1	0	0	0	0	0	0	1	0	5	12000	92	3198	10	83101190	10080	10831910	3	30831910	20831910	100831910	2	0	0	1	0	31_0_8h	0	古纹魔神碑，百年流逝，岁月难回。	1000	147451	1000060	83101190	1000004	0	0	0	60890000	60890001	7	0	0	0	0	0	0	-1	0	0	31_0_8h
93101190	1	魂·古纹靴	9	9	31	6199	7200	0	999	931	0	-1	0	0	0	0	0	0	1	0	5	12000	92	3199	10	93101190	10090	10931910	3	30931910	20931910	100931910	2	0	0	1	0	31_0_9h	0	古纹魔神碑，百年流逝，岁月难回。	1000	147451	1000054	93101190	1000004	0	0	0	60990000	60990001	7	0	0	0	0	0	0	-1	0	0	31_0_9h
