Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
Apr  2 21:32:07.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413527, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:32:07.525 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413527, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 21:32:08.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413528, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:32:08.318 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413528, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:32:08.326 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413528, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:32:08.477 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413528, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 21:32:09.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413529, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:32:09.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413529, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:32:09.324 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413529, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:32:10.058 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413530, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:10.061 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413530, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:10.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413530, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:32:10.318 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413530, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:32:11.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413531, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:32:11.958 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413531, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:32:12.039 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413532, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 21:32:12.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413532, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:32:12.838 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413532, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 21:32:13.208 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413533, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:32:13.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413533, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:32:13.918 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413533, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:32:14.378 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413533, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 21:32:14.383 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413533, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 21:32:14.388 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413533, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 21:32:14.553 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413534, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=0; 
Apr  2 21:32:14.989 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413534, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:32:15.058 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413535, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:15.062 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413535, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:15.680 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413535, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 21:32:15.689 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413535, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 21:32:16.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413536, set_id=11, svr_type=9, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:32:16.383 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413536, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:32:17.037 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:32:17.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 21:32:17.464 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 21:32:17.620 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 21:32:17.726 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 21:32:17.804 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 21:32:17.818 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 21:32:17.885 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413537, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 21:32:18.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413538, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 21:32:18.586 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413538, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 21:32:19.358 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413539, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 21:32:20.148 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413540, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:20.152 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413540, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:20.395 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413540, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:32:20.706 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413540, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 21:32:21.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413541, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:32:21.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413541, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:32:21.320 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413541, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:32:21.463 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413541, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 21:32:21.467 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413541, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 21:32:21.952 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413541, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:32:22.039 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413542, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 21:32:22.473 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413542, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:32:22.477 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413542, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:32:22.498 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413542, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:32:22.786 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413542, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 21:32:23.205 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413543, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:32:23.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413543, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:32:23.319 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413543, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:32:23.465 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413543, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 21:32:23.967 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413543, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:32:24.360 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413544, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:32:25.038 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413544, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:32:25.059 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413545, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:25.062 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413545, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:25.311 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413545, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:32:25.462 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413545, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 21:32:26.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413546, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:32:26.384 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413546, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:32:26.476 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413546, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 21:32:27.042 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413547, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:32:29.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413549, set_id=11, svr_type=9, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:32:30.056 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:30.064 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:30.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 21:32:30.323 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 21:32:30.335 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 21:32:30.346 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 21:32:30.358 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 21:32:30.367 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 21:32:30.482 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413550, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 21:32:31.313 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413551, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 21:32:31.468 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413551, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 21:32:31.481 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413551, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 21:32:31.486 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413551, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 21:32:32.040 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413552, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 21:32:32.101 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413551, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:32:32.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413552, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 21:32:32.598 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413552, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=0; 
Apr  2 21:32:33.206 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413553, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
