备注	行为ID	有效标志	警戒范围（已*10)	战斗范围（已*10)	待机行走方式（0呆站，9个体巡逻，10群组巡逻）	走路速度（未*10）	奔跑速度（未*10）	camp1阵营1，2阵营2兼敌对，3阵营3和12敌对，21友好(学院攻防：防1攻2)	普攻类型1	普攻1概率(万分比)	普攻类型2	普攻2概率(万分比)	普攻类型3	普攻2概率(万分比)	普通攻击间隔(毫秒)	普通攻击对象(0普通，8炮塔，16固定朝向)	是否回位补给	回位是否重置	尸体存在时间	免疫的debuff类型	"免疫被击硬直和击退(1免疫普攻，2免疫普攻、技能带来的,3免疫一切被击硬直和击退)"	采集读条cmd	读条时间（毫秒）	单位类型，位域：0是普通单位，1是机械单位(不能被加血)、2是免疫XP技能、4是免疫宠物攻击单位	出生范围	攻击范围（已*10）	游荡范围（游荡的距离，已*10，单位M）	采集消耗主键	采集消耗副键
驭灵墓3-光柱	3203004	1	50	100	0	0	0	1	21205	10000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	100	4	0	0	0
驭灵墓3-定身怪	3203007	1	50	100	0	14	38	2	21201	10000	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	100	2.5	0	0	0
驭灵墓3-减速怪	3203008	1	50	100	0	14	38	2	21199	10000	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	100	2.5	0	0	0
驭灵墓3-旋风怪	3203009	1	50	100	0	14	38	2	21200	10000	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	100	2.5	0	0	0
驭灵墓3-踢球员	3203010	1	90	100	0	20	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	6	0	0	0
驭灵墓4-光球	3203011	1	50	100	0	14	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
封魔塔-魔将·磐钢	9001101	1	90	100	0	14	70	2	22001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
封魔塔-魔将·斩月	9001201	1	90	100	0	18	70	2	22005	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	4	0	0	0
封魔塔-魔将·火骨	9001301	1	90	100	0	14	60	2	22009	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
封魔塔-魔将·魔童	9001401	1	90	100	0	18	60	2	22013	5000	220131	5000	0	0	1000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
封魔塔-魔将·圣魔	9001501	1	90	100	0	0	0	2	22017	10000	0	0	0	0	5000	0	0	0	1	0	3	0	0	0	100	18	0	0	0
封魔塔-魔将·冰魔将	9001111	1	90	100	0	14	60	2	22052	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
封魔塔-魔将·铜魔将	9001121	1	90	100	0	14	70	2	22056	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
封魔塔-魔将·雷魔神	9001131	1	90	100	0	14	60	2	22063	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
封魔塔-魔将·混魔将	9001141	1	90	100	0	14	70	2	22064	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
封魔塔-魔将·腾小明	9001151	1	90	100	0	14	60	2	22030	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
封魔塔-魔将·黑金棍	9001152	1	90	100	0	14	60	2	22033	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	6	0	0	0
封魔塔-透明人	9001153	1	90	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔-魔将·画翠	9001161	1	90	100	0	14	70	2	22038	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
封魔塔-魔将·凝秋	9001162	1	90	100	0	14	70	2	22041	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
封魔塔-魔将·魔帅	9001171	1	90	100	0	14	70	2	22048	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
封魔塔-魔将·海笛	9001181	1	90	100	0	20	70	2	22044	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	3	0	0	0
封魔塔传送NPC-1	9001601	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-2	9001602	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-3	9001603	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-4	9001604	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-5	9001605	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-6	9001606	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-7	9001607	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-8	9001608	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-9	9001609	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
封魔塔传送NPC-10	9001610	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
野狼	10109	1	6	10	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	10	2.5	4	0	0
王城被动怪	10110	1	0	10	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	10	2.5	4	0	0
治疗图腾	9001611	1	10	100	0	0	0	2	22025	10000	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	0	20	0	0	0
减速图腾	9001612	1	10	100	0	0	0	2	22026	10000	0	0	0	0	1000	0	0	0	0	0	3	0	0	0	0	0	0	0	0
迷宫传送门	3301002	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	1000	0	0	0	0	0	0
封魔塔-巨石	9001502	1	90	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	100	0	0	0	0
破门-士兵	6004192	1	50	100	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	50	1.5	0	0	0
破门-士兵	6004193	1	200	100	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	200	1.5	0	0	0
剧情-地底神猴	6004207	1	10	50	0	14	40	2	22030	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	5	0	0	0
魔族士兵	1011034	1	5	20	0	14	38	2	10001	7000	10022	1500	10023	1500	2000	0	0	0	1	0	3	0	0	0	100	2.5	0	0	0
魔族奸细	1011035	1	5	20	0	14	38	2	10024	5000	10020	2500	10021	2500	2000	0	0	0	1	0	3	0	0	0	100	2.5	0	0	0
血族刀兵	1011116	1	0	10	0	14	38	2	10001	7000	10022	1500	10023	1500	2000	0	0	0	4	0	3	0	0	0	20	3.5	0	0	0
血族刀兵-伏兵	1011117	1	100	20	0	14	38	2	10001	7000	10022	1500	10023	1500	2000	0	0	0	3	0	0	0	0	0	10	2.5	0	0	0
血族刀兵-前推类地图	1011119	1	8	20	0	14	28	2	10001	7000	10022	1500	10023	1500	2000	0	0	0	3	0	0	0	0	0	10	2.5	0	0	0
魔灵	1036102	1	0	10	0	14	38	2	10001	7000	10016	1500	10017	1500	2000	0	0	0	3	0	0	0	0	0	10	2.5	4	0	0
魔族血灵	1036082	1	5	20	0	14	38	2	10024	5000	10018	2500	10019	2500	2000	0	0	0	1	0	1	0	0	0	20	1.5	4	0	0
